doi,title,date,tier,program,grant,acronym,call,disc,stage,stage_frac,proj_start,proj_end,proj_status,madmp,schema_ok,n_datasets,n_dist,personal,sensitive,ethics,challenging,access,url,dl
10.5281/zenodo.4704920,Data Management Plan,2021-04-20,Horizon 2020,H2020,893206,BUBBLES,H2020-SESAR-2019-2,natural sciences,mid,0.388,2020-05-01,2022-10-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/4704920,
10.5281/zenodo.4701690,Machine-actionable DMP: Influenza predictions,2021-04-19,No funder metadata,,,,,,late,1.0,2021-04-05,2021-04-19,,True,True,2,2,0,0,no,False,public,https://zenodo.org/records/4701690,https://zenodo.org/api/records/4701690/files/maDMP.json/content
10.5281/zenodo.4701637,DMP: Impact of social media on suicide rates,2021-04-19,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/4701637,
10.5281/zenodo.4701512,Machine-actionable DMP: Performance Comparison of kNN and GD,2021-04-19,No funder metadata,,,,,,late,6.2,2020-11-15,2020-12-10,,True,True,5,2,0,0,no,False,public,https://zenodo.org/records/4701512,https://zenodo.org/api/records/4701512/files/maDMP.json/content
10.5281/zenodo.4701309,DMP: Investigate the Effects of Lockdowns on COVID-19 Cases,2021-04-19,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/4701309,
10.5281/zenodo.4701272,Machine-actionable DMP: Analysis of Correlation Between GDP per Capita and Average Height of Young Adults in 2019 in 164 Countries,2021-04-19,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/4701272,https://zenodo.org/api/records/4701272/files/maDMP.json/content
10.5281/zenodo.4701260,DMP: Analysis of Correlation Between GDP per Capita and Average Height of Young Adults in 2019 in 164 Countries,2021-04-19,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/4701260,
10.5281/zenodo.4701164,DMP: Performance Comparison of kNN and GD,2021-04-19,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/4701164,
10.5281/zenodo.4700619,Machine-actionable DMP: Effect of suicide rates on life expectancy,2021-04-19,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/4700619,
10.5281/zenodo.4700470,maDMP Testing the Oswald Hypothesis with European Country-Level Data,2021-04-19,No funder metadata,,,,,,unknown,,,,,True,True,1,0,0,0,no,False,public,https://zenodo.org/records/4700470,https://zenodo.org/api/records/4700470/files/maDMP.json/content
